STRAATNAAM;POSTCODE6;POSTCODE4;HSNR_laag;HSNR_hoog;HSNR_aant;BUURTCODE;BUURTNAAM;WIJKCODE;WIJKNAAM;STADSDEELCODE;STADSDEELNAAM;x_rd;y_rd;latitude;longitude
's Gravesandestraat;5612JN;5612.0;2;48;24.0;411;Limbeek-Noord;41;Wijk Oud-Woensel;4;Stadsdeel Woensel-Zuid;160286.391033;384594.4951;51.4504109203;5.46325070265
's-Gravenbrakelstraat;5628VS;5628.0;1;12;12.0;532;Tempel;53;Wijk Aanschot;5;Stadsdeel Woensel-Noord;161967.900489;387908.73135;51.4801831222;5.48750649671
't College;5611EH;5611.0;1;111;88.0;111;Binnenstad;11;Wijk Centrum;1;Stadsdeel Centrum;161561.367121;383135.5634;51.4372836512;5.48156521236
't Hofke;5641AH;5641.0;1;39;18.0;335;'t Hofke;33;Wijk Oud-Tongelre;3;Stadsdeel Tongelre;164175.952035;384354.0513;51.4481996886;5.5191993541
't Hofke;5641AJ;5641.0;41;89;17.0;335;'t Hofke;33;Wijk Oud-Tongelre;3;Stadsdeel Tongelre;164243.67675;384463.79231;51.4491850047;5.52017647193
't Hofke;5641AL;5641.0;2;34;21.0;335;'t Hofke;33;Wijk Oud-Tongelre;3;Stadsdeel Tongelre;164161.307855;384286.22335;51.4475902452;5.5189869284
't Hofke;5641AM;5641.0;36;78;21.0;335;'t Hofke;33;Wijk Oud-Tongelre;3;Stadsdeel Tongelre;164302.45375;384454.229933;51.4490980839;5.52102175743
't Hofke;5641AN;5641.0;80;196;94.0;335;'t Hofke;33;Wijk Oud-Tongelre;3;Stadsdeel Tongelre;164073.54745;384385.064937;51.4484801187;5.51772704132
1e Bottelroosstraat;5644EV;5644.0;1;15;15.0;221;Kerstroosplein;22;Wijk Kortonjo;2;Stadsdeel Stratum;162521.563076;381140.8961;51.4193422387;5.49533193724
1e Franklinstraat;5621GG;5621.0;1;28;19.0;421;Woensel-West;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;159991.880006;384949.35985;51.4536033706;5.4590189253
1e Lieven de Keylaan;5622GG;5622.0;88;122;14.0;424;Mensfort;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;160466.80069;386359.32865;51.4662726824;5.46587352111
1e Lieven de Keylaan;5624LC;5624.0;1;15;8.0;512;Prinsejagt;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;159961.241737;386092.52695;51.4638791816;5.45859427789
2e Franklinstraat;5621GL;5621.0;9;33;14.0;421;Woensel-West;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;159790.4157;384868.411166;51.4528775022;5.45611936505
2e Franklinstraat;5621GM;5621.0;38;76;20.0;421;Woensel-West;42;Wijk Erp;4;Stadsdeel Woensel-Zuid;159807.87111;384925.7047;51.4533923455;5.45637127506
2e Kruizemuntstraat;5643EA;5643.0;29;45;9.0;237;Kruidenbuurt;23;Wijk Putten;2;Stadsdeel Stratum;162937.7575;381128.412043;51.4192243142;5.5013149178
2e Terborgstraat;5651BB;5651.0;1;7;6.0;624;Drents Dorp;62;Wijk Halve Maan;6;Stadsdeel Strijp;159090.2413;384127.3912;51.4462222496;5.44603752313
Aakstraat;5616KP;5616.0;1;23;22.0;614;Schouwbroek;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159530.504872;383201.74655;51.4378985607;5.45235861734
Aalsterweg;5615CA;5615.0;1;55;18.0;216;Bloemenplein;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;161936.6291;382030.92396;51.4273499145;5.48694038273
Aalsterweg;5615CB;5615.0;57;89;54.0;216;Bloemenplein;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;161904.12645;381868.212137;51.4258877506;5.486469848
Aalsterweg;5615CE;5615.0;2;16;23.0;217;Looiakkers;21;Wijk Oud-Stratum;2;Stadsdeel Stratum;161899.0193;382147.390493;51.4283972559;5.48640188658
Aalsterweg;5644RE;5644.0;283;291;92.0;225;Eikenburg;22;Wijk Kortonjo;2;Stadsdeel Stratum;161857.151;379899.737168;51.4081943371;5.48575610941
Aanschot;5629BJ;5629.0;76;80;3.0;533;Blixembosch-West;53;Wijk Aanschot;5;Stadsdeel Woensel-Noord;160476.7455;388966.47038;51.4897072617;5.46605731095
Aarschotlaan;5628TN;5628.0;1;36;24.0;532;Tempel;53;Wijk Aanschot;5;Stadsdeel Woensel-Noord;161678.44295;387910.566337;51.4802031282;5.48333969131
Abraham van Diepenbeeckstraat;5613HA;5613.0;1;37;19.0;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre;162925.3969;383203.717239;51.4378787175;5.50118392672
Abrikozenstraat;5632SN;5632.0;1;47;24.0;543;Vaartbroek;54;Wijk Dommelbeemd;5;Stadsdeel Woensel-Noord;162723.82;388046.330511;51.4814100784;5.49839123912
Acaciastraat;5616LK;5616.0;1;31;16.0;615;Schoot;61;Wijk Oud-Strijp;6;Stadsdeel Strijp;159716.449178;383939.43235;51.4445278471;5.45504276256
Achelstraat;5628PL;5628.0;2;24;12.0;532;Tempel;53;Wijk Aanschot;5;Stadsdeel Woensel-Noord;161234.889507;388270.28225;51.4834415789;5.47696097255
Achilleslaan;5631BS;5631.0;1;35;18.0;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid;162427.85835;385523.784552;51.4587397927;5.49407733157
Achterbeekseweg;5644BA;5644.0;1;4;5.0;224;Roosten;22;Wijk Kortonjo;2;Stadsdeel Stratum;162386.8097;379945.698692;51.4086007772;5.49336965112
Adelaertstraat;5625HD;5625.0;2;48;24.0;513;Jagershoef;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;160710.950324;387360.7852;51.4752719991;5.46940335066
Adriaan Dorsmanstraat;5624BJ;5624.0;2;24;12.0;512;Prinsejagt;51;Wijk Ontginning;5;Stadsdeel Woensel-Noord;159898.8321;386105.65145;51.4639977004;5.45769637411
Adriaan Mulderweg;5657EM;5657.0;4;20;11.0;637;Flight Forum;63;Wijk Meerhoven;6;Stadsdeel Strijp;155751.162;384814.916838;51.4524165936;5.39800760214
Aelbert Cuypstraat;5613GK;5613.0;1;26;21.0;312;Lakerlopen;31;Wijk De Laak;3;Stadsdeel Tongelre;163023.7689;383381.125794;51.4394719901;5.50260275401
Aeneaslaan;5631LA;5631.0;17;39;12.0;435;Oude Gracht-Oost;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid;162344.877926;385741.2535;51.4606956346;5.49288790621
Agamemnonlaan;5631BX;5631.0;2;22;11.0;434;Oude Gracht-West;43;Wijk Begijnenbroek;4;Stadsdeel Woensel-Zuid;162275.414339;385585.0888;51.4592928267;5.49188515036
Agatha Christielaan;5629MB;5629.0;1;28;28.0;534;Blixembosch-Oost;53;Wijk Aanschot;5;Stadsdeel Woensel-Noord;160951.30435;388540.192851;51.485870782;5.47288295055
